Size,Quantity,Unit Price,Setup Fee,Production Cost,Materials Cost,Subtotal,Total
"4"" x 6""",50,$0.535,$30.0,$23.19,$3.56,$56.76,$56.76
"4"" x 6""",100,$0.448,$30.0,$37.68,$7.13,$74.81,$74.81
"4"" x 6""",150,$0.405,$30.0,$50.04,$10.69,$90.73,$90.73
"4"" x 6""",200,$0.377,$30.0,$61.21,$14.25,$105.46,$105.46
"4"" x 6""",250,$0.357,$30.0,$71.56,$17.82,$119.37,$119.37
"4"" x 6""",300,$0.342,$30.0,$81.3,$21.38,$132.68,$132.68
"4"" x 6""",350,$0.33,$30.0,$90.56,$24.94,$145.5,$145.5
"4"" x 6""",400,$0.32,$30.0,$99.43,$28.51,$157.94,$157.94
"4"" x 6""",450,$0.311,$30.0,$107.98,$32.07,$170.05,$170.05
"4"" x 6""",500,$0.304,$30.0,$116.24,$35.63,$181.88,$181.88
"4"" x 6""",550,$0.297,$30.0,$124.26,$39.2,$193.46,$193.46
"5"" x 7""",50,$0.606,$30.0,$23.19,$7.13,$60.32,$60.32
"5"" x 7""",100,$0.519,$30.0,$37.68,$14.25,$81.93,$81.93
"5"" x 7""",150,$0.476,$30.0,$50.04,$21.38,$101.42,$101.42
"5"" x 7""",200,$0.449,$30.0,$61.21,$28.51,$119.72,$119.72
"5"" x 7""",250,$0.429,$30.0,$71.56,$35.63,$137.19,$137.19
"5"" x 7""",300,$0.414,$30.0,$81.3,$42.76,$154.06,$154.06
"5"" x 7""",350,$0.401,$30.0,$90.56,$49.89,$170.45,$170.45
"5"" x 7""",400,$0.391,$30.0,$99.43,$57.01,$186.45,$186.45
"5"" x 7""",450,$0.382,$30.0,$107.98,$64.14,$202.12,$202.12
"5"" x 7""",500,$0.375,$30.0,$116.24,$71.27,$217.51,$217.51
"5"" x 7""",550,$0.368,$30.0,$124.26,$78.4,$232.66,$232.66
"6"" x 9""",50,$0.749,$30.0,$23.19,$14.25,$67.45,$67.45
"6"" x 9""",100,$0.662,$30.0,$37.68,$28.51,$96.19,$96.19
"6"" x 9""",150,$0.619,$30.0,$50.04,$42.76,$122.81,$122.81
"6"" x 9""",200,$0.591,$30.0,$61.21,$57.01,$148.22,$148.22
"6"" x 9""",250,$0.571,$30.0,$71.56,$71.27,$172.83,$172.83
"6"" x 9""",300,$0.556,$30.0,$81.3,$85.52,$196.82,$196.82
"6"" x 9""",350,$0.544,$30.0,$90.56,$99.78,$220.34,$220.34
"6"" x 9""",400,$0.534,$30.0,$99.43,$114.03,$243.46,$243.46
"6"" x 9""",450,$0.525,$30.0,$107.98,$128.28,$266.26,$266.26
"6"" x 9""",500,$0.518,$30.0,$116.24,$142.54,$288.78,$288.78
"6"" x 9""",550,$0.511,$30.0,$124.26,$156.79,$311.06,$311.06
